Star	Dist	VR	chi2	P(<chi2)
S35  	450.4	290.8	   1.239	 0.8760
LY014	498.8	291.7	   3.976	 0.5528
S33  	219.2	291.7	   0.345	 0.5572
S37  	424.3	291.1	   0.125	 0.7242
LY019	153.5	293.6	   1.232	 0.7454
S38  	279.4	287.6	   3.390	 0.4948
ST   	318.1	299.2	3938.000	 0.0000
LY116	114.4	289.7	   0.508	 0.9172
S45  	156.3	292.4	   5.199	 0.3920
S41  	177.8	290.0	   1.357	 0.9289
LY022	 49.0	290.2	   1.282	 0.8644
S28  	 49.8	290.5	   6.224	 0.1830
S26  	 15.2	293.7	   1.054	 0.3046
S54  	 76.3	291.1	  39.236	 0.0000
LY37 	188.9	293.4	        	
LY22 	108.8	292.1	   1.110	 0.5739
LY31 	219.5	290.9	   1.264	 0.2609
S56  	 53.0	291.1	   0.433	 0.5104
S60  	 49.8	291.0	   4.746	 0.3143
LY28 	202.9	292.5	   1.821	 0.6104
S66  	189.0	290.5	   1.901	 0.7539
S84  	139.1	293.0	   0.451	 0.9294
S90  	106.1	289.7	        	
LY52 	125.2	291.4	        	
LY042	174.6	290.7	        	
LY043	182.4	288.2	   2.945	 0.2294
LY1  	176.8	288.0	   3.716	 0.2938
S80  	229.3	292.5	   1.674	 0.8922
LY065	235.9	295.0	   0.953	 0.3290
S102 	251.4	290.5	   2.038	 0.1534
SAH  	292.6	290.0	   2.752	 0.6001
LY7  	251.1	286.6	        	
S109 	267.4	297.5	  23.300	 0.0003
S72  	435.0	294.4	   0.265	 0.6068
SU   	286.6	293.1	   1.374	 0.5031
LY004	447.0	291.1	   1.240	 0.7434
S108 	285.4	290.1	   0.753	 0.3857
S106 	418.2	296.9	   1.742	 0.1868
LY009	513.9	289.0	        	
SX   	275.8	291.2	  10.110	 0.0386
SS   	235.2	291.5	   2.552	 0.2791
SAB  	260.6	295.1	  16.600	 0.0053
SP   	125.1	289.1	   3.068	 0.5465
LY88 	124.4	290.6	   0.987	 0.6104
S21  	 76.8	289.7	   1.254	 0.5342
S23  	 45.2	290.7	   1.591	 0.8105
SAI  	 32.8	288.7	   0.811	 0.6668
LY17 	222.3	289.9	   0.392	 0.9420
LY15 	 93.7	288.5	   4.654	 0.1990
S2   	 76.3	290.0	   0.507	 0.9174
S4   	106.2	290.9	   0.507	 0.9174
LY18 	240.1	291.1	   1.540	 0.6730
S91  	144.2	296.1	  13.630	 0.0035
S5   	164.7	295.1	  35.860	 0.0000
S94  	149.8	290.4	   0.505	 0.7768
S93  	144.2	295.8	   0.975	 0.3235
LY85 	346.3	289.0	   0.714	 0.8700
LY02 	205.4	292.5	   0.013	 0.9084
LY76 	278.2	291.2	        	
LY08 	248.5	291.4	   0.588	 0.4432
LY109	308.3	293.0	   0.998	 0.3178
LY015	403.3	290.7	   0.757	 0.3842
LY068	226.8	292.5	        	
LY03 	202.4	291.2	   2.683	 0.1014
LY87 	118.5	289.5	   0.315	 0.5745
LY40 	125.5	290.7	   0.578	 0.4469
S27  	 28.4	294.8	   2.735	 0.0982
LY65 	 21.9	289.0	   1.806	 0.1789
LY9  	256.6	290.2	        	
LY11 	246.6	290.1	   0.493	 0.4820
LY016	227.4	287.7	        	
LY017	371.4	291.0	   1.779	 0.1823
S70  	252.2	290.8	   0.448	 0.5033
LYAC 	144.4	289.1	   0.693	 0.4050
LY13 	284.9	292.1	   0.268	 0.6046
LY5  	251.8	289.2	   0.692	 0.4054
LY024	340.7	291.8	        	
